D4yPrior_Date,Realized_4yPremium,T4yPrior_SIFMA,T4yPrior_1ySwap,T4yPrior_2ySwap,T4yPrior_3ySwap,T4yPrior_4ySwap,T4yPrior_5ySwap
12/24/2008,1.63,1.25,1.216,1.448,1.716,1.89,2.07
12/17/2008,1.64,1.08,1.351,1.503,1.708,1.9,2.03
12/10/2008,1.71,0.85,1.368,1.523,1.766,1.98,2.15
12/3/2008,1.76,0.85,1.514,1.63,1.844,2.03,2.24
11/26/2008,2.15,1.03,1.75,1.9,2.154,2.43,2.63
11/19/2008,1.97,1.12,1.594,1.745,2.018,2.26,2.48
11/12/2008,2.1,1.14,1.502,1.713,2.076,2.39,2.64
11/5/2008,2.13,1.26,1.543,1.763,2.136,2.43,2.64
10/29/2008,2.35,1.82,1.819,1.975,2.345,2.66,2.87
10/22/2008,2.34,2.28,2.059,2.068,2.377,2.66,2.84
10/15/2008,2.72,3.45,2.389,2.476,2.861,3.07,3.27
10/8/2008,2.55,4.82,2.418,2.428,2.723,2.92,3.09
10/1/2008,2.54,5.74,2.562,2.6,2.818,2.95,3.05
9/24/2008,2.75,7.96,2.894,2.87,3.037,3.18,3.27
9/17/2008,2.28,5.15,2.375,2.339,2.564,2.72,2.85
9/10/2008,2.15,1.79,1.953,2.169,2.412,2.59,2.74
9/3/2008,2.2,1.63,2.01,2.239,2.48,2.66,2.79
8/27/2008,2.27,1.84,2.049,2.296,2.552,2.73,2.86
8/20/2008,2.27,1.66,2.043,2.288,2.55,2.74,2.88
8/13/2008,2.36,1.66,2.13,2.399,2.67,2.84,2.96
8/6/2008,2.46,1.8,2.2,2.495,2.768,2.95,3.07
7/30/2008,2.44,2.24,2.186,2.507,2.775,2.94,3.06
7/23/2008,2.58,2.35,2.283,2.644,2.933,3.08,3.2
7/16/2008,2.34,1.49,2.085,2.367,2.646,2.84,2.98
7/9/2008,2.24,1.36,2.081,2.341,2.585,2.76,2.88
7/2/2008,2.47,1.4,2.218,2.533,2.798,2.99,3.11
6/25/2008,2.57,1.55,2.326,2.674,2.939,3.1,3.22
6/18/2008,2.55,1.66,2.378,2.687,2.941,3.08,3.18
6/11/2008,2.5,1.64,2.338,2.651,2.905,3.04,3.14
6/4/2008,2.26,1.48,2.073,2.328,2.588,2.81,2.95
5/28/2008,2.33,1.62,2.158,2.472,2.718,2.89,3
5/21/2008,2.13,1.7,2.053,2.299,2.526,2.69,2.81
5/14/2008,2.26,1.83,2.213,2.477,2.696,2.83,2.95
5/7/2008,2.14,2.33,2.124,2.346,2.569,2.72,2.86
4/30/2008,2.1,2.67,2.171,2.367,2.565,2.69,2.82
4/23/2008,2.11,2.43,2.278,2.397,2.562,2.71,2.84
4/16/2008,2.12,2.1,2.198,2.323,2.53,2.73,2.88
4/9/2008,1.84,1.8,1.977,2.042,2.245,2.45,2.61
4/2/2008,2.11,1.89,2.146,2.28,2.525,2.74,2.9
3/26/2008,1.93,2.21,2.048,2.163,2.401,2.57,2.74
3/19/2008,1.7,2.33,1.866,1.913,2.154,2.35,2.54
3/12/2008,1.86,2.75,2.022,2.075,2.311,2.52,2.7
3/5/2008,2.01,2.96,2.146,2.207,2.435,2.68,2.88
2/27/2008,2.11,3.16,2.238,2.327,2.559,2.79,2.98
2/20/2008,1.98,2.37,2.07,2.228,2.465,2.68,2.87
2/13/2008,1.73,1.24,1.892,1.948,2.172,2.43,2.64
2/6/2008,1.71,1.73,2.027,2.073,2.247,2.42,2.6
1/30/2008,1.9,2.2,2.222,2.332,2.506,2.62,2.78
1/23/2008,1.81,2.78,2.175,2.101,2.209,2.55,2.71
1/16/2008,1.83,2.93,2.454,2.357,2.439,2.58,2.72
1/9/2008,1.91,3.02,2.618,2.482,2.532,2.68,2.8
1/2/2008,1.99,3.06,2.744,2.582,2.656,2.77,2.87
12/26/2007,2.29,3.42,2.977,2.896,2.981,3.08,3.19
12/19/2007,2.09,3.16,2.958,2.791,2.841,2.9,2.98
12/12/2007,2.18,3.09,3.003,2.871,2.908,3,3.1
12/5/2007,2.12,3.4,3.07,2.823,2.844,2.96,3.05
11/28/2007,2.19,3.58,3.126,2.927,2.966,3.05,3.12
11/21/2007,2.2,3.58,3.091,2.923,2.979,3.07,3.16
11/14/2007,2.27,3.54,3.117,3.027,3.095,3.16,3.26
11/7/2007,2.31,3.41,3.159,3.064,3.136,3.21,3.33
10/31/2007,2.36,3.26,3.212,3.151,3.21,3.28,3.36
10/24/2007,2.21,3.43,3.118,3.016,3.058,3.14,3.23
10/17/2007,2.34,3.49,3.277,3.183,3.225,3.29,3.36
10/10/2007,2.42,3.55,3.413,3.31,3.345,3.39,3.45
10/3/2007,2.34,3.56,3.347,3.22,3.251,3.32,3.38
9/26/2007,2.31,3.84,3.275,3.175,3.231,3.31,3.39
9/19/2007,2.23,3.77,3.219,3.128,3.18,3.25,3.32
9/12/2007,2.24,3.73,3.413,3.229,3.229,3.27,3.33
9/5/2007,2.3,3.85,3.423,3.282,3.305,3.36,3.4
8/29/2007,2.38,3.95,3.441,3.337,3.373,3.46,3.52
8/22/2007,2.43,3.89,3.402,3.347,3.409,3.52,3.6
8/15/2007,2.44,3.69,3.447,3.385,3.44,3.54,3.64
8/8/2007,2.53,3.51,3.597,3.523,3.568,3.65,3.71
8/1/2007,2.48,3.52,3.552,3.478,3.513,3.62,3.68
7/25/2007,2.5,3.61,3.632,3.573,3.61,3.66,3.71
7/18/2007,2.56,3.61,3.661,3.62,3.665,3.73,3.78
7/11/2007,2.57,3.58,3.676,3.65,3.698,3.75,3.81
7/4/2007,2.51,3.6,3.669,3.645,3.682,3.71,3.76
6/27/2007,2.51,3.73,3.644,3.628,3.67,3.73,3.78
6/20/2007,2.53,3.73,3.671,3.676,3.713,3.77,3.82
6/13/2007,2.57,3.71,3.694,3.725,3.773,3.83,3.88
6/6/2007,2.41,3.61,3.658,3.634,3.649,3.68,3.71
5/30/2007,2.31,3.76,3.629,3.58,3.584,3.6,3.63
5/23/2007,2.26,3.83,3.621,3.554,3.55,3.57,3.6
5/16/2007,2.15,3.85,3.58,3.48,3.456,3.48,3.51
5/9/2007,2.1,3.91,3.589,3.463,3.433,3.45,3.47
5/2/2007,2.07,3.92,3.565,3.423,3.399,3.43,3.45
4/25/2007,2.04,3.92,3.548,3.397,3.378,3.42,3.45
4/18/2007,2.02,3.78,3.547,3.399,3.383,3.41,3.45
4/11/2007,2.07,3.7,3.579,3.464,3.452,3.48,3.52
4/4/2007,1.98,3.61,3.523,3.393,3.376,3.4,3.44
3/28/2007,1.92,3.65,3.5,3.347,3.332,3.36,3.41
3/21/2007,1.86,3.65,3.468,3.31,3.287,3.32,3.35
3/14/2007,1.88,3.6,3.478,3.34,3.318,3.35,3.38
3/7/2007,1.85,3.52,3.454,3.347,3.331,3.34,3.37
2/28/2007,1.9,3.51,3.507,3.398,3.382,3.4,3.43
2/21/2007,1.93,3.65,3.576,3.475,3.437,3.45,3.48
2/14/2007,1.95,3.65,3.581,3.498,3.476,3.49,3.52
2/7/2007,1.94,3.59,3.586,3.504,3.478,3.49,3.53
1/31/2007,1.99,3.5,3.602,3.562,3.557,3.56,3.61
1/24/2007,1.97,3.61,3.599,3.54,3.524,3.55,3.59
1/17/2007,1.94,3.62,3.591,3.535,3.522,3.54,3.59
1/10/2007,1.85,3.63,3.548,3.461,3.437,3.47,3.51
1/3/2007,1.83,3.45,3.524,3.466,3.412,3.45,3.48
